"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
139;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 07:55:40";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
140;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 07:55:41";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
141;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"2021-03-07 07:55:41";"offline";"false";"low";"false";"low";"true";"local";"low";"low"
142;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
143;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
144;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
145;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
146;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
147;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
148;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
149;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
150;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
151;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
152;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
153;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
154;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
155;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 07:58:18";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
156;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 07:58:18";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
157;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:58:50";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
158;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 08:04:42";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
159;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 08:04:42";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
160;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:15:28";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
161;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:15:50";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
162;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:16:12";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
163;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:16:33";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
164;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:31:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
165;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 08:46:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
166;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 09:01:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
167;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 09:16:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
168;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 09:31:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
169;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 09:46:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
170;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 10:01:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
171;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 10:16:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
172;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 10:31:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
173;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 10:46:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
174;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 11:01:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
175;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 11:16:34";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
176;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 11:31:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
177;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 11:46:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
178;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 12:01:35";"offline";"false";"low";"false";"high";"true";"local";"high";"low"
